what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1290900480777
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1290900480778
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1290900480778
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1290900480778
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1290900480778
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1290900480779
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1290900480779
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1290900480780
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1290900480780
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1290900480780
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1290900480781
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1290900480782
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1290900480782
os,sysinfo,,,"win32",1290900480784
arch,sysinfo,,,"x86",1290900480784
ws,sysinfo,,,"win32",1290900480784
locale,sysinfo,,,"de_DE",1290900480784
processors,sysinfo,,,"4",1290900480784
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1290900480784
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1290900480784
java.specification.name,sysinfo,,,"Java Platform API Specification",1290900480784
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1290900480784
java.specification.version,sysinfo,,,"1.6",1290900480784
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1290900480784
java.version,sysinfo,,,"1.6.0_22",1290900480784
java.vm.info,sysinfo,,,"mixed mode, sharing",1290900480784
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1290900480784
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1290900480784
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1290900480784
java.vm.specification.version,sysinfo,,,"1.0",1290900480784
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1290900480784
java.vm.version,sysinfo,,,"17.1-b03",1290900480784
